Date,Open,High,Low,Close,Volume
2018-08-09,4045,4058,4022,4035,1098700
2018-08-08,3988,4040,3976,4020,1108300
2018-08-07,3955,3994,3943,3986,863400
2018-08-06,4004,4015,3974,3975,734400
2018-08-03,4008,4019,3985,3991,1173500
2018-08-02,4050,4062,4000,4002,1362600
2018-07-31,4204,4211,4105,4123,1798700
2018-07-30,4254,4279,4239,4259,681100
2018-07-27,4259,4296,4256,4283,1113800
2018-07-26,4233,4270,4219,4227,993900
2018-07-25,4203,4246,4180,4191,1264900
2018-07-24,4220,4220,4176,4180,929400
2018-07-23,4161,4212,4148,4205,1208500
2018-07-20,4173,4209,4172,4196,1859900
2018-07-19,4117,4159,4111,4134,1530600
2018-07-18,4059,4086,4040,4075,1001900
2018-07-17,4012,4052,3989,4037,1196800
2018-07-13,3903,3965,3896,3952,1093500
2018-07-12,3912,3930,3896,3915,1206800
2018-07-11,3900,3911,3867,3893,1191900
2018-07-10,3910,3927,3897,3900,1332100
2018-07-09,3884,3909,3876,3881,893200
2018-07-06,3897,3906,3866,3871,950300
2018-07-05,3900,3918,3873,3882,934900
2018-07-04,3874,3912,3860,3903,806300
2018-07-03,3863,3879,3845,3874,1307400
2018-07-02,3921,3921,3837,3837,1650200
2018-06-29,3971,3979,3918,3928,1181600
2018-06-28,3991,3992,3908,3931,2157400
2018-06-27,4046,4065,4009,4013,1074600
2018-06-26,4045,4069,4007,4063,1032600
2018-06-25,4100,4104,4048,4059,809000
2018-06-22,4109,4117,4084,4096,968500
2018-06-21,4130,4161,4100,4101,1144800
2018-06-20,4134,4152,4105,4130,1039800
2018-06-19,4200,4201,4130,4130,1400300
2018-06-18,4290,4304,4212,4246,966000
2018-06-15,4299,4308,4275,4294,1337700
2018-06-14,4336,4359,4320,4335,1173100
2018-06-13,4300,4352,4295,4350,980100
2018-06-12,4302,4320,4243,4287,1128100
2018-06-11,4256,4285,4229,4277,707400
2018-06-08,4261,4288,4249,4256,1168700
2018-06-07,4245,4297,4243,4297,1219500
2018-06-06,4220,4231,4178,4230,1234400
2018-06-05,4250,4251,4183,4193,921900
2018-06-04,4205,4241,4196,4222,1068000
2018-06-01,4234,4248,4200,4205,1013800
2018-05-31,4290,4295,4212,4218,1928000
2018-05-30,4262,4311,4255,4287,1317200
2018-05-29,4361,4366,4307,4332,1224200
2018-05-28,4315,4377,4315,4366,1667000
