,Date,Open,High,Low,Close,Volume,index,Date_1305,Close_1305,diff_1305,Date_1306,Close_1306,diff_1306,Date_1308,Close_1308,diff_1308,Date_1320,Close_1320,diff_1320,Date_1321,Close_1321,diff_1321,Date_1329,Close_1329,diff_1329,Date_1330,Close_1330,diff_1330,Date_1346,Close_1346,diff_1346,Date_1348,Close_1348,diff_1348,Date_1369,Close_1369,diff_1369,Date_1475,Close_1475,diff_1475,Date_1578,Close_1578,diff_1578,Date_2035,Close_2035,diff_2035
0,2018-08-09,4045,4058,4022,4035,1098700,0,2018-08-09,1805,-0.002762430939226568,2018-08-09,1782,-0.002239641657334812,2018-08-09,1762,-0.0028296547821166085,2018-08-09,23060,-0.0017316017316016952,2018-08-09,23090,-0.002160760587726851,2018-08-09,23160,-0.0017241379310344307,2018-08-09,23150,-0.0025850926324859635,2018-08-09,23200,-0.0017211703958691649,2018-08-09,1786,-0.001676914477361624,2018-08-09,22680,0.00044111160123505577,2018-08-09,1752,-0.0017094017094017033,2018-08-09,1807,-0.0005530973451327581,2018-08-09,1526,-0.009090909090909038
1,2018-08-08,3988,4040,3976,4020,1108300,1,2018-08-08,1810,0.0,2018-08-08,1786,0.0,2018-08-08,1767,-0.0005656108597285048,2018-08-08,23100,0.0004330879168470414,2018-08-08,23140,0.0008650519031141446,2018-08-08,23200,-0.0004308487720809939,2018-08-08,23210,-0.00043066322136087187,2018-08-08,23240,0.000430477830391629,2018-08-08,1789,-0.001116694584031297,2018-08-08,22670,-0.00044091710758376035,2018-08-08,1755,-0.0011383039271485318,2018-08-08,1808,-0.0011049723756906271,2018-08-08,1540,-0.015974440894568676
2,2018-08-07,3955,3994,3943,3986,863400,2,2018-08-07,1810,0.0072342793544797335,2018-08-07,1786,0.007900677200902928,2018-08-07,1768,0.007981755986316896,2018-08-07,23090,0.006538796861377483,2018-08-07,23120,0.005654632448890862,2018-08-07,23210,-0.002149613069647449,2018-08-07,23220,0.007375271149674623,2018-08-07,23230,0.005627705627705648,2018-08-07,1791,0.00901408450704233,2018-08-07,22680,0.0066577896138482195,2018-08-07,1757,-0.0011370096645821892,2018-08-07,1810,0.007795100222717233,2018-08-07,1565,0.012944983818770295
3,2018-08-06,4004,4015,3974,3975,734400,3,2018-08-06,1797,-0.006084070796460228,2018-08-06,1772,-0.006726457399103158,2018-08-06,1754,-0.006795016987542479,2018-08-06,22940,-0.0008710801393728707,2018-08-06,22990,0.0,2018-08-06,23260,0.0,2018-08-06,23050,-0.000866926744690022,2018-08-06,23100,0.0,2018-08-06,1775,-0.006159014557670761,2018-08-06,22530,0.0,2018-08-06,1759,-0.005652911249293346,2018-08-06,1796,0.0,2018-08-06,1545,-0.024005053695514866
4,2018-08-03,4008,4019,3985,3991,1173500,4,2018-08-03,1808,-0.0038567493112947604,2018-08-03,1784,-0.005019520356943641,2018-08-03,1766,-0.00450958286358516,2018-08-03,22960,0.0008718395815170421,2018-08-03,22990,0.0008707009142359112,2018-08-03,23260,0.000860585197934638,2018-08-03,23070,0.0008676789587851452,2018-08-03,23100,-0.0004327131112072946,2018-08-03,1786,-0.005013927576601684,2018-08-03,22530,0.0,2018-08-03,1769,-0.005061867266591635,2018-08-03,1796,0.0022321428571427937,2018-08-03,1583,-0.020420792079207883
5,2018-08-02,4050,4062,4000,4002,1362600,5,2018-08-02,1815,-0.0011007154650523043,2018-08-02,1793,-0.0005574136008918984,2018-08-02,1774,-0.0005633802816901179,2018-08-02,22940,-0.00260869565217392,2018-08-02,22970,-0.0030381944444444198,2018-08-02,23240,-0.0030030030030030463,2018-08-02,23050,-0.003027681660899617,2018-08-02,23110,-0.0008646779074794608,2018-08-02,1795,-0.0016685205784204848,2018-08-02,22530,-0.003978779840848823,2018-08-02,1778,-0.0005621135469364713,2018-08-02,1792,-0.0049972237645752315,2018-08-02,1616,-0.02591922845087402
6,2018-07-31,4204,4211,4105,4123,1798700,6,2018-07-31,1817,-0.008728859792689558,2018-07-31,1794,-0.008839779005524906,2018-07-31,1775,-0.008933556672250154,2018-07-31,23000,0.0008703220191470518,2018-07-31,23040,0.0013037809647979959,2018-07-31,23310,0.0012886597938144284,2018-07-31,23120,0.0012992637505413462,2018-07-31,23130,0.0004325259515571833,2018-07-31,1798,-0.007726269315673329,2018-07-31,22620,0.0022153300841825097,2018-07-31,1779,-0.008913649025069637,2018-07-31,1801,0.0005555555555556424,2018-07-31,1659,-0.030957943925233655
7,2018-07-30,4254,4279,4239,4259,681100,7,2018-07-30,1833,-0.00434546442151007,2018-07-30,1810,-0.0033039647577092213,2018-07-30,1791,-0.0038932146829810943,2018-07-30,22980,-0.006485084306095956,2018-07-30,23010,-0.006905481225722876,2018-07-30,23280,-0.006402048655569814,2018-07-30,23090,-0.007308684436801327,2018-07-30,23120,-0.007299270072992692,2018-07-30,1812,-0.003848268279274314,2018-07-30,22570,-0.005726872246695991,2018-07-30,1795,-0.004988913525498906,2018-07-30,1800,-0.008264462809917328,2018-07-30,1712,0.016023738872403603
8,2018-07-27,4259,4296,4256,4283,1113800,8,2018-07-27,1841,0.004912663755458624,2018-07-27,1816,0.003869541182974112,2018-07-27,1798,0.005030743432084872,2018-07-27,23130,0.0047784535186794486,2018-07-27,23170,0.0056423611111111605,2018-07-27,23430,0.004716981132075526,2018-07-27,23260,0.005620406398616495,2018-07-27,23290,0.005613126079447417,2018-07-27,1819,0.004417448923246914,2018-07-27,22700,0.0030932390631903672,2018-07-27,1804,0.006134969325153339,2018-07-27,1815,0.007214206437291981,2018-07-27,1685,0.0
9,2018-07-26,4233,4270,4219,4227,993900,9,2018-07-26,1832,0.008255365987892116,2018-07-26,1809,0.008923591745677584,2018-07-26,1789,0.008455467869222133,2018-07-26,23020,-0.0004342162396873128,2018-07-26,23040,-0.0008673026886383273,2018-07-26,23320,-0.0008568980291345785,2018-07-26,23130,-0.0008639308855291628,2018-07-26,23160,-0.0008628127696289623,2018-07-26,1811,0.0077907623817472516,2018-07-26,22630,0.0,2018-07-26,1793,0.00786958965711082,2018-07-26,1802,-0.0033185840707964376,2018-07-26,1685,-0.004725339633786185
