Date,Open,High,Low,Close,Volume
2018-08-09,22630,22680,22550,22680,32
2018-08-08,22670,22800,22650,22670,1520
2018-08-07,22610,22680,22610,22680,21
2018-08-06,22560,22600,22520,22530,56
2018-08-03,22570,22570,22530,22530,1433
2018-08-02,22720,22720,22530,22530,4325
2018-07-31,22500,22630,22500,22620,33
2018-07-30,22600,22630,22550,22570,1394
2018-07-27,22660,22720,22660,22700,23
2018-07-26,22620,22630,22620,22630,11
2018-07-25,22620,22630,22620,22630,31
2018-07-24,22560,22560,22450,22540,1372
2018-07-23,22490,22490,22380,22420,542
2018-07-20,22770,22770,22580,22700,4372
2018-07-19,22870,22900,22820,22820,106
2018-07-18,22930,22950,22820,22820,41
2018-07-17,22650,22860,22650,22780,1611
2018-07-13,22420,22680,22420,22650,3695
2018-07-12,22050,22260,22050,22200,1583
2018-07-11,22010,22460,21800,21920,4392
2018-07-10,22260,22310,22260,22280,137
2018-07-09,21940,22110,21940,22100,1082
2018-07-06,21730,21900,21730,21900,71
2018-07-05,21750,21760,21530,21620,3467
2018-07-04,21670,21790,21670,21760,21
2018-07-03,22090,22110,21790,21960,3206
2018-07-02,22490,22520,22020,22020,24872
2018-06-29,22420,22520,22390,22500,43928
2018-06-28,22320,22460,22300,22460,16
2018-06-27,22530,22530,22490,22500,2010
2018-06-26,22380,22540,22380,22540,35
2018-06-25,22730,22730,22510,22560,59
2018-06-22,22650,22730,22630,22730,136
2018-06-21,22730,22950,22660,22950,1058
2018-06-20,22560,22730,22380,22730,56
2018-06-19,22750,22800,22500,22500,1393
2018-06-18,23020,23020,22830,22840,127
2018-06-15,23050,23050,23010,23020,21
2018-06-14,23000,23040,22910,22910,159
2018-06-13,23140,23180,23130,23130,23
2018-06-12,23170,23170,23060,23100,509
2018-06-11,22880,23040,22880,23020,82
2018-06-08,23000,23000,22910,22930,82
2018-06-07,22930,23060,22930,23000,1347
2018-06-06,22750,22850,22740,22840,185
2018-06-05,22690,22730,22690,22700,95
2018-06-04,22590,22720,22560,22660,142
2018-06-01,22430,22480,22420,22420,80
2018-05-31,22400,22460,22310,22460,5449
2018-05-30,22160,22260,22120,22190,799
2018-05-29,22640,22640,22430,22440,1310
2018-05-28,22740,22740,22620,22660,7
2018-05-25,22520,22660,22520,22640,10
2018-05-24,22790,22790,22550,22660,259
2018-05-23,23080,23100,22860,22900,2218
2018-05-22,23230,23230,23160,23160,2548
