Date,Close
2018-08-09,82.34
2018-08-08,82.76
2018-08-07,82.25
2018-08-06,82.26
2018-08-03,82.33
2018-08-02,82.69
2018-08-01,83.02
2018-07-31,82.74
2018-07-30,82.05
2018-07-27,82.97
2018-07-26,83.51
2018-07-25,83.42
2018-07-24,83.39
2018-07-23,83.59
2018-07-20,82.61
2018-07-19,83.05
2018-07-18,82.26
2018-07-17,81.86
2018-07-13,81.55
2018-07-12,81.59
2018-07-11,81.45
2018-07-10,82
2018-07-09,82.23
2018-07-06,82.19
2018-07-05,81.98
2018-07-04,82.57
2018-07-03,82.38
2018-07-02,82.3
2018-06-29,81.38
2018-06-28,81.36
2018-06-27,81.27
2018-06-26,81.61
2018-06-25,82.18
2018-06-22,82.53
2018-06-21,83.52
2018-06-20,83.61
2018-06-19,83.74
2018-06-18,83.25
2018-06-15,83.74
2018-06-14,84.47
2018-06-13,83.81
2018-06-12,83.96
2018-06-11,83.14
2018-06-08,81.15
2018-06-07,80.77
2018-06-06,81.11
2018-06-05,81.25
2018-06-04,81.43
2018-06-01,82.43
2018-05-31,82.79
2018-05-30,82.96
2018-05-29,82.97
2018-05-28,83.96
2018-05-25,84.21
2018-05-24,83.46
2018-05-23,83.36
2018-05-22,82.97
2018-05-21,82.47
2018-05-18,82.66
2018-05-17,82.4
2018-05-16,82.04
2018-05-15,81.32
2018-05-14,81.92
2018-05-11,82.02
2018-05-10,82.19
2018-05-09,82.34
2018-05-08,81.22
2018-05-07,82.43
2018-05-02,82.67
2018-05-01,82.4
2018-04-27,83.05
2018-04-26,83.67
2018-04-25,83.27
2018-04-24,83.36
2018-04-23,83.58
2018-04-20,83.36
2018-04-19,83.14
2018-04-18,82.18
2018-04-17,82.17
2018-04-16,82.32
2018-04-13,82.42
2018-04-12,81.89
2018-04-11,81.14
2018-04-10,81.78
2018-04-09,82.6
2018-04-06,82.86
2018-04-05,82.73
2018-04-04,82.67
2018-04-03,82.64
2018-04-02,83.07
2018-03-30,80.92
2018-03-29,82.01
2018-03-28,81.87
2018-03-27,81.8
2018-03-26,82.76
2018-03-23,83.55
2018-03-22,83.92
2018-03-20,83.78
2018-03-19,83.13
2018-03-16,83.12
2018-03-15,82.21
2018-03-14,82.58
2018-03-13,81.99
2018-03-12,82.61
2018-03-09,81.66
2018-03-08,81.79
2018-03-07,81.19
2018-03-06,81.82
2018-03-05,81.05
2018-03-02,84.07
2018-03-01,82.6
2018-02-28,84.83
2018-02-27,84.61
2018-02-26,84.26
2018-02-23,84.42
2018-02-22,84.6
2018-02-21,84.86
2018-02-20,85.37
2018-02-19,85.52
2018-02-16,86.46
2018-02-15,85.86
2018-02-14,87.04
2018-02-13,87.89
2018-02-09,83.68
2018-02-08,84.03
2018-02-07,83.81
2018-02-06,83.89
2018-02-05,83.83
2018-02-02,84.71
2018-02-01,87.95
2018-01-31,88.22
2018-01-30,88.3
2018-01-29,88.17
2018-01-26,88.97
2018-01-25,88.54
2018-01-24,88.97
2018-01-23,88.45
2018-01-22,88.24
2018-01-19,88.22
2018-01-18,87.77
2018-01-17,87.88
2018-01-16,87.83
2018-01-15,87.87
2018-01-12,88.82
2018-01-11,88.62
2018-01-10,88.22
2018-01-09,87.84
2018-01-05,88.23
2018-01-04,88.23
