Date,Close
2018-08-09,85.13
2018-08-08,85.32
2018-08-07,85.61
2018-08-06,85.55
2018-08-03,85.86
2018-08-02,85.96
2018-08-01,85.95
2018-07-31,84.68
2018-07-30,84.46
2018-07-27,84.92
2018-07-26,85.63
2018-07-25,85.6
2018-07-24,85.61
2018-07-23,85.63
2018-07-20,84.9
2018-07-19,84.74
2018-07-18,84.38
2018-07-17,84.24
2018-07-13,84.11
2018-07-12,84.02
2018-07-11,84.12
2018-07-10,84.26
2018-07-09,85.18
2018-07-06,85.06
2018-07-05,85.03
2018-07-04,84.93
2018-07-03,84.53
2018-07-02,84.35
2018-06-29,82.74
2018-06-28,83.01
2018-06-27,82.82
2018-06-26,83.37
2018-06-25,83.74
2018-06-22,84.32
2018-06-21,85.01
2018-06-20,84.89
2018-06-19,84.84
2018-06-18,84.44
2018-06-15,84.66
2018-06-14,85.14
2018-06-13,84.82
2018-06-12,84.96
2018-06-11,84.7
2018-06-08,83.39
2018-06-07,82.48
2018-06-06,82.56
2018-06-05,82.43
2018-06-04,82.5
2018-06-01,84.18
2018-05-31,84.37
2018-05-30,84.99
2018-05-29,85.41
2018-05-28,86.48
2018-05-25,86.91
2018-05-24,86.21
2018-05-23,86.5
2018-05-22,86.34
2018-05-21,85.77
2018-05-18,85.56
2018-05-17,85.72
2018-05-16,85.59
2018-05-15,84.35
2018-05-14,84.57
2018-05-11,84.75
2018-05-10,85.49
2018-05-09,84.33
2018-05-08,83.21
2018-05-07,84.2
2018-05-02,85.75
2018-05-01,85.21
2018-04-27,84.86
2018-04-26,85.07
2018-04-25,85.32
2018-04-24,85.24
2018-04-23,85.28
2018-04-20,85.29
2018-04-19,84.99
2018-04-18,84.04
2018-04-17,83.69
2018-04-16,83.97
2018-04-13,83.72
2018-04-12,83.21
2018-04-11,82.01
2018-04-10,82.48
2018-04-09,84.91
2018-04-06,85.21
2018-04-05,84.89
2018-04-04,84.64
2018-04-03,84.45
2018-04-02,85.07
2018-03-30,81.27
2018-03-29,81.96
2018-03-28,81.17
2018-03-27,80.87
2018-03-26,81.4
2018-03-23,81.84
2018-03-22,82.35
2018-03-20,82.83
2018-03-19,82.75
2018-03-16,82.18
2018-03-15,81.58
2018-03-14,81.89
2018-03-13,81.91
2018-03-12,82.89
2018-03-09,82.41
2018-03-08,82.64
2018-03-07,81.94
2018-03-06,82.22
2018-03-05,81.59
2018-03-02,83.49
2018-03-01,83.12
2018-02-28,85
2018-02-27,85.03
2018-02-26,84.84
2018-02-23,85.13
2018-02-22,85.45
2018-02-21,85.71
2018-02-20,86.33
2018-02-19,87.06
2018-02-16,87.52
2018-02-15,87.01
2018-02-14,88.44
2018-02-13,89.22
2018-02-09,84.08
2018-02-08,84.25
2018-02-07,84.49
2018-02-06,84.15
2018-02-05,84.64
2018-02-02,86.37
2018-02-01,88.72
2018-01-31,88.74
2018-01-30,88.72
2018-01-29,88.74
2018-01-26,89.13
2018-01-25,88.73
2018-01-24,89.45
2018-01-23,89.32
2018-01-22,88.89
2018-01-19,89.15
2018-01-18,88.94
2018-01-17,88.88
2018-01-16,88.93
2018-01-15,90.17
2018-01-12,91.15
2018-01-11,90.36
2018-01-10,89.83
2018-01-09,88.25
2018-01-05,88.28
2018-01-04,88.22
