Date,Close
2018-08-09,16.23
2018-08-08,16.35
2018-08-07,16.22
2018-08-06,16.26
2018-08-03,16.26
2018-08-02,16.36
2018-08-01,16.4
2018-07-31,16.34
2018-07-30,16.28
2018-07-27,16.6
2018-07-26,16.73
2018-07-25,16.8
2018-07-24,16.79
2018-07-23,16.88
2018-07-20,16.68
2018-07-19,16.81
2018-07-18,16.61
2018-07-17,16.62
2018-07-13,16.64
2018-07-12,16.57
2018-07-11,16.58
2018-07-10,16.71
2018-07-09,16.24
2018-07-06,16.27
2018-07-05,16.28
2018-07-04,16.39
2018-07-03,16.39
2018-07-02,16.59
2018-06-29,16.95
2018-06-28,17.05
2018-06-27,16.99
2018-06-26,17.05
2018-06-25,17.16
2018-06-22,17.24
2018-06-21,17.27
2018-06-20,17.25
2018-06-19,17.22
2018-06-18,17.11
2018-06-15,17.2
2018-06-14,17.27
2018-06-13,17.18
2018-06-12,17.16
2018-06-11,17.1
2018-06-08,16.67
2018-06-07,16.61
2018-06-06,16.7
2018-06-05,16.75
2018-06-04,16.8
2018-06-01,17.02
2018-05-31,17.17
2018-05-30,17.18
2018-05-29,17.21
2018-05-28,17.44
2018-05-25,17.45
2018-05-24,17.44
2018-05-23,17.45
2018-05-22,17.37
2018-05-21,17.33
2018-05-18,17.28
2018-05-17,17.28
2018-05-16,17.27
2018-05-15,17.15
2018-05-14,17.13
2018-05-11,17.15
2018-05-10,17.32
2018-05-09,16.99
2018-05-08,16.87
2018-05-07,17.05
2018-05-02,17.32
2018-05-01,17.33
2018-04-27,17.14
2018-04-26,17.13
2018-04-25,17.08
2018-04-24,17.09
2018-04-23,17.13
2018-04-20,17.11
2018-04-19,17.05
2018-04-18,16.94
2018-04-17,16.95
2018-04-16,17.01
2018-04-13,16.99
2018-04-12,16.98
2018-04-11,16.87
2018-04-10,17
2018-04-09,17.29
2018-04-06,17.31
2018-04-05,17.29
2018-04-04,17.23
2018-04-03,17.17
2018-04-02,17.06
2018-03-30,16.58
2018-03-29,16.75
2018-03-28,16.8
2018-03-27,16.73
2018-03-26,16.8
2018-03-23,16.83
2018-03-22,16.88
2018-03-20,16.84
2018-03-19,16.83
2018-03-16,16.79
2018-03-15,16.7
2018-03-14,16.79
2018-03-13,16.68
2018-03-12,16.75
2018-03-09,16.92
2018-03-08,16.99
2018-03-07,16.85
2018-03-06,16.9
2018-03-05,16.63
2018-03-02,16.92
2018-03-01,16.85
2018-02-28,16.98
2018-02-27,16.95
2018-02-26,16.88
2018-02-23,16.93
2018-02-22,16.94
2018-02-21,17.05
2018-02-20,17.16
2018-02-19,17.34
2018-02-16,17.46
2018-02-15,17.27
2018-02-14,17.41
2018-02-13,17.4
2018-02-09,16.98
2018-02-08,16.96
2018-02-07,16.92
2018-02-06,16.89
2018-02-05,16.95
2018-02-02,17.13
2018-02-01,17.34
2018-01-31,17.33
2018-01-30,17.23
2018-01-29,17.24
2018-01-26,17.34
2018-01-25,17.31
2018-01-24,17.35
2018-01-23,17.28
2018-01-22,17.19
2018-01-19,17.21
2018-01-18,17.19
2018-01-17,17.14
2018-01-16,17.11
2018-01-15,17.21
2018-01-12,17.4
2018-01-11,17.4
2018-01-10,17.34
2018-01-09,17.21
2018-01-05,17.19
2018-01-04,17.21
