Date,Close
2018-08-09,142.69
2018-08-08,144.23
2018-08-07,144.09
2018-08-06,144.67
2018-08-03,145.55
2018-08-02,146.59
2018-08-01,146.72
2018-07-31,146.39
2018-07-30,145.75
2018-07-27,146.58
2018-07-26,147.41
2018-07-25,148.16
2018-07-24,148.84
2018-07-23,148.55
2018-07-20,148.1
2018-07-19,147.24
2018-07-18,146.82
2018-07-17,146.34
2018-07-13,146.16
2018-07-12,145.7
2018-07-11,145.68
2018-07-10,146.26
2018-07-09,145.71
2018-07-06,145.67
2018-07-05,145.67
2018-07-04,146.18
2018-07-03,145.85
2018-07-02,146.99
2018-06-29,145.94
2018-06-28,145.46
2018-06-27,144.83
2018-06-26,146.09
2018-06-25,146.63
2018-06-22,146.65
2018-06-21,147.54
2018-06-20,147.77
2018-06-19,147.34
2018-06-18,146.79
2018-06-15,147.46
2018-06-14,147.96
2018-06-13,147.22
2018-06-12,146.31
2018-06-11,146.66
2018-06-08,144.55
2018-06-07,144.25
2018-06-06,145.36
2018-06-05,145.48
2018-06-04,145.36
2018-06-01,144.77
2018-05-31,145.85
2018-05-30,146.53
2018-05-29,146.55
2018-05-28,148.9
2018-05-25,149.09
2018-05-24,149.49
2018-05-23,149.9
2018-05-22,149.46
2018-05-21,149.01
2018-05-18,148.28
2018-05-17,148.03
2018-05-16,148.91
2018-05-15,148.04
2018-05-14,147.86
2018-05-11,147.58
2018-05-10,149.5
2018-05-09,144.56
2018-05-08,143.6
2018-05-07,145.35
2018-05-02,148.88
2018-05-01,150.58
2018-04-27,151.42
2018-04-26,152.58
2018-04-25,153.3
2018-04-24,153.63
2018-04-23,153.28
2018-04-20,152.98
2018-04-19,151.87
2018-04-18,150.94
2018-04-17,150.64
2018-04-16,150.19
2018-04-13,150.63
2018-04-12,149.97
2018-04-11,148.71
2018-04-10,149.29
2018-04-09,152.15
2018-04-06,152.51
2018-04-05,152.3
2018-04-04,151.55
2018-04-03,151.07
2018-04-02,151.76
2018-03-30,148.21
2018-03-29,149.7
2018-03-28,148.94
2018-03-27,147.72
2018-03-26,148.1
2018-03-23,148.17
2018-03-22,149.13
2018-03-20,147.91
2018-03-19,147.35
2018-03-16,147.58
2018-03-15,146.77
2018-03-14,147.25
2018-03-13,145.65
2018-03-12,146.45
2018-03-09,148.87
2018-03-08,150.22
2018-03-07,149.55
2018-03-06,150.34
2018-03-05,148.62
2018-03-02,148.25
2018-03-01,146.79
2018-02-28,150.55
2018-02-27,149.45
2018-02-26,149.29
2018-02-23,149.91
2018-02-22,149.61
2018-02-21,149.82
2018-02-20,150.46
2018-02-19,151.89
2018-02-16,152.82
2018-02-15,152.4
2018-02-14,155.17
2018-02-13,156.13
2018-02-09,149.29
2018-02-08,149.26
2018-02-07,149.5
2018-02-06,149.35
2018-02-05,149.52
2018-02-02,151.67
2018-02-01,155.09
2018-01-31,155.44
2018-01-30,155.82
2018-01-29,154.46
2018-01-26,155.25
2018-01-25,153.79
2018-01-24,154.33
2018-01-23,153.64
2018-01-22,152.59
2018-01-19,152.98
2018-01-18,152.36
2018-01-17,150.85
2018-01-16,150.64
2018-01-15,152.17
2018-01-12,153.5
2018-01-11,153.06
2018-01-10,152.3
2018-01-09,154.11
2018-01-05,153.3
2018-01-04,153.93
