Date,Close
2018-08-09,14.12
2018-08-08,14.2
2018-08-07,14.18
2018-08-06,14.18
2018-08-03,14.24
2018-08-02,14.23
2018-08-01,14.25
2018-07-31,14.19
2018-07-30,14.18
2018-07-27,14.34
2018-07-26,14.36
2018-07-25,14.39
2018-07-24,14.33
2018-07-23,14.36
2018-07-20,14.29
2018-07-19,14.15
2018-07-18,14.08
2018-07-17,14.11
2018-07-13,14.09
2018-07-12,14.07
2018-07-11,14.14
2018-07-10,14.13
2018-07-09,14.14
2018-07-06,14.16
2018-07-05,14.16
2018-07-04,14.11
2018-07-03,14.13
2018-07-02,14.13
2018-06-29,14.03
2018-06-28,14.08
2018-06-27,14.02
2018-06-26,14.03
2018-06-25,14.08
2018-06-22,14.1
2018-06-21,14.06
2018-06-20,14.08
2018-06-19,14.06
2018-06-18,13.95
2018-06-15,14
2018-06-14,14.04
2018-06-13,14
2018-06-12,14.01
2018-06-11,13.98
2018-06-08,14.09
2018-06-07,14.02
2018-06-06,14
2018-06-05,13.96
2018-06-04,13.98
2018-06-01,13.88
2018-05-31,13.96
2018-05-30,13.96
2018-05-29,13.98
2018-05-28,14.12
2018-05-25,14.14
2018-05-24,14.15
2018-05-23,14.13
2018-05-22,14.06
2018-05-21,14.05
2018-05-18,13.93
2018-05-17,13.94
2018-05-16,14.01
2018-05-15,13.93
2018-05-14,13.88
2018-05-11,13.88
2018-05-10,14
2018-05-09,13.85
2018-05-08,13.82
2018-05-07,13.92
2018-05-02,13.98
2018-05-01,13.93
2018-04-27,13.7
2018-04-26,13.69
2018-04-25,13.66
2018-04-24,13.64
2018-04-23,13.69
2018-04-20,13.68
2018-04-19,13.64
2018-04-18,13.6
2018-04-17,13.62
2018-04-16,13.66
2018-04-13,13.61
2018-04-12,13.57
2018-04-11,13.49
2018-04-10,13.55
2018-04-09,13.94
2018-04-06,13.94
2018-04-05,13.87
2018-04-04,13.87
2018-04-03,13.74
2018-04-02,13.62
2018-03-30,13.37
2018-03-29,13.46
2018-03-28,13.53
2018-03-27,13.51
2018-03-26,13.56
2018-03-23,13.52
2018-03-22,13.61
2018-03-20,13.57
2018-03-19,13.61
2018-03-16,13.55
2018-03-15,13.49
2018-03-14,13.57
2018-03-13,13.48
2018-03-12,13.58
2018-03-09,13.54
2018-03-08,13.61
2018-03-07,13.44
2018-03-06,13.46
2018-03-05,13.37
2018-03-02,13.65
2018-03-01,13.64
2018-02-28,13.74
2018-02-27,13.65
2018-02-26,13.59
2018-02-23,13.59
2018-02-22,13.65
2018-02-21,13.79
2018-02-20,13.9
2018-02-19,14
2018-02-16,14
2018-02-15,13.95
2018-02-14,14.05
2018-02-13,14
2018-02-09,13.72
2018-02-08,13.65
2018-02-07,13.67
2018-02-06,13.68
2018-02-05,13.74
2018-02-02,13.92
2018-02-01,13.96
2018-01-31,14.04
2018-01-30,14.01
2018-01-29,14.1
2018-01-26,14.19
2018-01-25,14.17
2018-01-24,14.21
2018-01-23,14.24
2018-01-22,14.11
2018-01-19,14.17
2018-01-18,14.18
2018-01-17,14.22
2018-01-16,14.25
2018-01-15,14.38
2018-01-12,14.46
2018-01-11,14.43
2018-01-10,14.42
2018-01-09,13.92
2018-01-05,13.94
2018-01-04,13.91
