Date,Close
2018-08-09,13.48
2018-08-08,13.59
2018-08-07,13.5
2018-08-06,13.47
2018-08-03,13.57
2018-08-02,13.67
2018-08-01,13.71
2018-07-31,13.61
2018-07-30,13.57
2018-07-27,13.68
2018-07-26,13.81
2018-07-25,13.86
2018-07-24,13.9
2018-07-23,13.9
2018-07-20,13.83
2018-07-19,13.86
2018-07-18,13.75
2018-07-17,13.74
2018-07-13,13.61
2018-07-12,13.57
2018-07-11,13.58
2018-07-10,13.6
2018-07-09,13.64
2018-07-06,13.57
2018-07-05,13.58
2018-07-04,13.61
2018-07-03,13.59
2018-07-02,13.8
2018-06-29,13.55
2018-06-28,13.5
2018-06-27,13.43
2018-06-26,13.57
2018-06-25,13.55
2018-06-22,13.6
2018-06-21,13.77
2018-06-20,13.74
2018-06-19,13.67
2018-06-18,13.59
2018-06-15,13.63
2018-06-14,13.66
2018-06-13,13.55
2018-06-12,13.53
2018-06-11,13.43
2018-06-08,13.5
2018-06-07,13.43
2018-06-06,13.52
2018-06-05,13.52
2018-06-04,13.54
2018-06-01,13.32
2018-05-31,13.44
2018-05-30,13.52
2018-05-29,13.57
2018-05-28,13.76
2018-05-25,13.8
2018-05-24,13.68
2018-05-23,13.65
2018-05-22,13.67
2018-05-21,13.59
2018-05-18,13.67
2018-05-17,13.67
2018-05-16,13.61
2018-05-15,13.43
2018-05-14,13.52
2018-05-11,13.53
2018-05-10,13.59
2018-05-09,13.28
2018-05-08,13.07
2018-05-07,13.33
2018-05-02,13.66
2018-05-01,13.65
2018-04-27,13.79
2018-04-26,13.85
2018-04-25,13.82
2018-04-24,13.79
2018-04-23,13.83
2018-04-20,13.83
2018-04-19,13.74
2018-04-18,13.71
2018-04-17,13.65
2018-04-16,13.68
2018-04-13,13.66
2018-04-12,13.6
2018-04-11,13.42
2018-04-10,13.53
2018-04-09,13.69
2018-04-06,13.74
2018-04-05,13.79
2018-04-04,13.78
2018-04-03,13.76
2018-04-02,13.79
2018-03-30,13.58
2018-03-29,13.77
2018-03-28,13.74
2018-03-27,13.72
2018-03-26,13.78
2018-03-23,13.73
2018-03-22,13.78
2018-03-20,13.73
2018-03-19,13.61
2018-03-16,13.58
2018-03-15,13.57
2018-03-14,13.61
2018-03-13,13.56
2018-03-12,13.56
2018-03-09,13.56
2018-03-08,13.58
2018-03-07,13.67
2018-03-06,13.76
2018-03-05,13.55
2018-03-02,13.75
2018-03-01,13.49
2018-02-28,13.71
2018-02-27,13.72
2018-02-26,13.71
2018-02-23,13.69
2018-02-22,13.71
2018-02-21,13.71
2018-02-20,13.73
2018-02-19,13.84
2018-02-16,14.02
2018-02-15,13.94
2018-02-14,14.18
2018-02-13,14.33
2018-02-09,13.64
2018-02-08,13.67
2018-02-07,13.63
2018-02-06,13.62
2018-02-05,13.66
2018-02-02,13.75
2018-02-01,14.15
2018-01-31,14.18
2018-01-30,14.12
2018-01-29,14.09
2018-01-26,14.12
2018-01-25,14.09
2018-01-24,14.14
2018-01-23,14.12
2018-01-22,14.06
2018-01-19,14.06
2018-01-18,13.98
2018-01-17,13.91
2018-01-16,13.83
2018-01-15,13.87
2018-01-12,14.02
2018-01-11,13.99
2018-01-10,13.9
2018-01-09,14.11
2018-01-05,14.12
2018-01-04,14.15
