Date,Close
2018-08-09,74
2018-08-08,75.06
2018-08-07,74.93
2018-08-06,75.04
2018-08-03,75.3
2018-08-02,75.89
2018-08-01,76.14
2018-07-31,75.79
2018-07-30,75.43
2018-07-27,76
2018-07-26,76.68
2018-07-25,76.64
2018-07-24,76.3
2018-07-23,76.36
2018-07-20,75.77
2018-07-19,76.06
2018-07-18,75.55
2018-07-17,75.26
2018-07-13,74.7
2018-07-12,74.59
2018-07-11,74.4
2018-07-10,75.05
2018-07-09,75.82
2018-07-06,75.53
2018-07-05,75.34
2018-07-04,75.81
2018-07-03,75.68
2018-07-02,75.54
2018-06-29,75.71
2018-06-28,75.68
2018-06-27,75.96
2018-06-26,76.34
2018-06-25,76.58
2018-06-22,76.93
2018-06-21,77.5
2018-06-20,77.41
2018-06-19,77.27
2018-06-18,77.06
2018-06-15,77.18
2018-06-14,77.61
2018-06-13,77.22
2018-06-12,77.27
2018-06-11,76.65
2018-06-08,74.59
2018-06-07,74.56
2018-06-06,75.17
2018-06-05,75.54
2018-06-04,75.8
2018-06-01,76.45
2018-05-31,75.89
2018-05-30,75.93
2018-05-29,75.96
2018-05-28,76.91
2018-05-25,77.18
2018-05-24,76.64
2018-05-23,76.43
2018-05-22,76.15
2018-05-21,75.74
2018-05-18,76.25
2018-05-17,76.19
2018-05-16,76.24
2018-05-15,76.08
2018-05-14,76.5
2018-05-11,76.51
2018-05-10,76.93
2018-05-09,75.91
2018-05-08,74.79
2018-05-07,75.87
2018-05-02,75.92
2018-05-01,76.96
2018-04-27,77.96
2018-04-26,78.6
2018-04-25,78.61
2018-04-24,78.92
2018-04-23,79.05
2018-04-20,79.26
2018-04-19,78.91
2018-04-18,78.12
2018-04-17,77.9
2018-04-16,77.85
2018-04-13,78.16
2018-04-12,77.31
2018-04-11,76.28
2018-04-10,76.9
2018-04-09,77.21
2018-04-06,77.37
2018-04-05,77.43
2018-04-04,77.65
2018-04-03,77.66
2018-04-02,78.79
2018-03-30,75.84
2018-03-29,76.4
2018-03-28,76.86
2018-03-27,76.5
2018-03-26,77.2
2018-03-23,77.61
2018-03-22,78.23
2018-03-20,77.66
2018-03-19,77.49
2018-03-16,77.3
2018-03-15,76.92
2018-03-14,76.83
2018-03-13,76.37
2018-03-12,77.27
2018-03-09,76.79
2018-03-08,76.97
2018-03-07,76.72
2018-03-06,77.05
2018-03-05,76.15
2018-03-02,78.07
2018-03-01,76.87
2018-02-28,78.98
2018-02-27,78.66
2018-02-26,78.69
2018-02-23,78.6
2018-02-22,78.76
2018-02-21,78.53
2018-02-20,78.79
2018-02-19,78.92
2018-02-16,80.27
2018-02-15,79.39
2018-02-14,80.19
2018-02-13,80.9
2018-02-09,77.68
2018-02-08,77.96
2018-02-07,77.9
2018-02-06,78.4
2018-02-05,78.63
2018-02-02,78.56
2018-02-01,80.47
2018-01-31,80.38
2018-01-30,80.51
2018-01-29,81.1
2018-01-26,81.38
2018-01-25,80.67
2018-01-24,81.01
2018-01-23,80.73
2018-01-22,80.42
2018-01-19,80.82
2018-01-18,80.45
2018-01-17,80.88
2018-01-16,80.32
2018-01-15,80.39
2018-01-12,81.23
2018-01-11,80.75
2018-01-10,79.88
2018-01-09,79.93
2018-01-05,79.84
2018-01-04,79.92
