Date,Close
2018-08-09,2.09
2018-08-08,2.11
2018-08-07,2.11
2018-08-06,2.1
2018-08-03,2.1
2018-08-02,2.11
2018-08-01,2.11
2018-07-31,2.09
2018-07-30,2.08
2018-07-27,2.1
2018-07-26,2.11
2018-07-25,2.12
2018-07-24,2.1
2018-07-23,2.11
2018-07-20,2.09
2018-07-19,2.08
2018-07-18,2.07
2018-07-17,2.07
2018-07-13,2.07
2018-07-12,2.07
2018-07-11,2.08
2018-07-10,2.08
2018-07-09,2.09
2018-07-06,2.09
2018-07-05,2.08
2018-07-04,2.08
2018-07-03,2.08
2018-07-02,2.07
2018-06-29,2.06
2018-06-28,2.07
2018-06-27,2.06
2018-06-26,2.06
2018-06-25,2.07
2018-06-22,2.08
2018-06-21,2.07
2018-06-20,2.08
2018-06-19,2.08
2018-06-18,2.07
2018-06-15,2.09
2018-06-14,2.1
2018-06-13,2.1
2018-06-12,2.09
2018-06-11,2.09
2018-06-08,2.07
2018-06-07,2.05
2018-06-06,2.05
2018-06-05,2.05
2018-06-04,2.06
2018-06-01,2.08
2018-05-31,2.08
2018-05-30,2.09
2018-05-29,2.09
2018-05-28,2.12
2018-05-25,2.12
2018-05-24,2.12
2018-05-23,2.12
2018-05-22,2.11
2018-05-21,2.1
2018-05-18,2.08
2018-05-17,2.11
2018-05-16,2.12
2018-05-15,2.1
2018-05-14,2.1
2018-05-11,2.11
2018-05-10,2.12
2018-05-09,2.07
2018-05-08,2.06
2018-05-07,2.08
2018-05-02,2.09
2018-05-01,2.12
2018-04-27,2.07
2018-04-26,2.07
2018-04-25,2.06
2018-04-24,2.06
2018-04-23,2.07
2018-04-20,2.06
2018-04-19,2.06
2018-04-18,2.05
2018-04-17,2.05
2018-04-16,2.06
2018-04-13,2.05
2018-04-12,2.05
2018-04-11,2.03
2018-04-10,2.04
2018-04-09,2.1
2018-04-06,2.09
2018-04-05,2.08
2018-04-04,2.07
2018-04-03,2.07
2018-04-02,2.06
2018-03-30,2.01
2018-03-29,2.03
2018-03-28,2.04
2018-03-27,2.04
2018-03-26,2.04
2018-03-23,2.04
2018-03-22,2.05
2018-03-20,2.05
2018-03-19,2.05
2018-03-16,2.04
2018-03-15,2.03
2018-03-14,2.04
2018-03-13,2.04
2018-03-12,2.05
2018-03-09,2.04
2018-03-08,2.04
2018-03-07,2.01
2018-03-06,2.02
2018-03-05,2.01
2018-03-02,2.05
2018-03-01,2.05
2018-02-28,2.06
2018-02-27,2.04
2018-02-26,2.04
2018-02-23,2.03
2018-02-22,2.05
2018-02-21,2.08
2018-02-20,2.09
2018-02-19,2.14
2018-02-16,2.13
2018-02-15,2.12
2018-02-14,2.13
2018-02-13,2.12
2018-02-09,2.05
2018-02-08,2.06
2018-02-07,2.07
2018-02-06,2.06
2018-02-05,2.07
2018-02-02,2.1
2018-02-01,2.13
2018-01-31,2.16
2018-01-30,2.15
2018-01-29,2.16
2018-01-26,2.18
2018-01-25,2.19
2018-01-24,2.19
2018-01-23,2.19
2018-01-22,2.18
2018-01-19,2.2
2018-01-18,2.2
2018-01-17,2.21
2018-01-16,2.21
2018-01-15,2.23
2018-01-12,2.26
2018-01-11,2.27
2018-01-10,2.26
2018-01-09,2.12
2018-01-05,2.12
2018-01-04,2.13
