Date,Close
2018-08-09,8.28
2018-08-08,8.36
2018-08-07,8.28
2018-08-06,8.34
2018-08-03,8.3
2018-08-02,8.46
2018-08-01,8.45
2018-07-31,8.39
2018-07-30,8.26
2018-07-27,8.33
2018-07-26,8.5
2018-07-25,8.52
2018-07-24,8.51
2018-07-23,8.5
2018-07-20,8.27
2018-07-19,8.27
2018-07-18,8.2
2018-07-17,8.19
2018-07-13,8.08
2018-07-12,8.07
2018-07-11,8.02
2018-07-10,8.08
2018-07-09,8.44
2018-07-06,8.42
2018-07-05,8.39
2018-07-04,8.44
2018-07-03,8.29
2018-07-02,8.29
2018-06-29,8.1
2018-06-28,8.09
2018-06-27,8.01
2018-06-26,8.05
2018-06-25,8.24
2018-06-22,8.21
2018-06-21,8.3
2018-06-20,8.31
2018-06-19,8.39
2018-06-18,8.38
2018-06-15,8.48
2018-06-14,8.68
2018-06-13,8.61
2018-06-12,8.75
2018-06-11,8.65
2018-06-08,8.02
2018-06-07,7.94
2018-06-06,8.12
2018-06-05,8.09
2018-06-04,8.16
2018-06-01,8.59
2018-05-31,8.78
2018-05-30,8.83
2018-05-29,8.81
2018-05-28,8.82
2018-05-25,8.77
2018-05-24,8.7
2018-05-23,8.81
2018-05-22,8.87
2018-05-21,8.77
2018-05-18,8.93
2018-05-17,8.9
2018-05-16,8.75
2018-05-15,8.69
2018-05-14,8.7
2018-05-11,8.72
2018-05-10,8.68
2018-05-09,8.67
2018-05-08,8.55
2018-05-07,8.77
2018-05-02,8.91
2018-05-01,8.79
2018-04-27,8.98
2018-04-26,9.02
2018-04-25,8.95
2018-04-24,8.9
2018-04-23,8.91
2018-04-20,8.93
2018-04-19,8.9
2018-04-18,8.83
2018-04-17,8.89
2018-04-16,8.96
2018-04-13,9
2018-04-12,9.02
2018-04-11,8.93
2018-04-10,9
2018-04-09,8.83
2018-04-06,8.79
2018-04-05,8.83
2018-04-04,8.82
2018-04-03,8.92
2018-04-02,8.95
2018-03-30,8.85
2018-03-29,8.92
2018-03-28,8.83
2018-03-27,8.85
2018-03-26,8.95
2018-03-23,9.02
2018-03-22,9.04
2018-03-20,9
2018-03-19,8.97
2018-03-16,8.96
2018-03-15,8.91
2018-03-14,8.99
2018-03-13,8.84
2018-03-12,8.97
2018-03-09,9
2018-03-08,9.09
2018-03-07,9.07
2018-03-06,9.07
2018-03-05,8.98
2018-03-02,9.05
2018-03-01,9.06
2018-02-28,9.17
2018-02-27,9.16
2018-02-26,9.15
2018-02-23,9.16
2018-02-22,9.13
2018-02-21,9.03
2018-02-20,9.1
2018-02-19,9.09
2018-02-16,9.18
2018-02-15,9
2018-02-14,9.12
2018-02-13,9.24
2018-02-09,9.17
2018-02-08,9.24
2018-02-07,9.24
2018-02-06,9.18
2018-02-05,9.22
2018-02-02,8.98
2018-02-01,9.22
2018-01-31,9.23
2018-01-30,9.22
2018-01-29,9.17
2018-01-26,9.21
2018-01-25,9.16
2018-01-24,9.18
2018-01-23,9.05
2018-01-22,9.03
2018-01-19,9
2018-01-18,8.96
2018-01-17,8.99
2018-01-16,8.99
2018-01-15,9.1
2018-01-12,9.15
2018-01-11,9.18
2018-01-10,9.12
2018-01-09,9.09
2018-01-05,9.13
2018-01-04,9.17
